Player,Nation,Position,Current age,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,18,11,4,4,10,7,15,46.7,8,10,0,10,8,26,4,0,Matches
Pedri,es ESP,MF,22-163,12.3,38,26,15,13,10,14,35,40.0,21,25,1,24,9,47,5,0,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,14,10,8,6,0,9,13,69.2,4,19,6,13,7,21,40,0,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,15,11,2,10,3,6,15,40.0,9,10,0,10,4,19,2,0,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,6,4,3,2,1,0,3,0.0,3,9,6,3,12,18,23,0,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,5,3,1,3,1,1,4,25.0,3,7,0,7,2,7,8,0,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,11,8,2,8,1,7,15,46.7,8,14,8,6,4,15,37,0,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,8,7,7,0,1,5,10,50.0,5,9,3,6,5,13,9,2,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,18,8,3,13,2,4,13,30.8,9,6,3,3,12,30,10,3,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,15,1,Matches
Marc Casado,es ESP,MF,21-235,7.0,33,21,9,21,3,17,27,63.0,10,8,2,6,3,36,10,0,Matches
Dani Olmo,es ESP,MF,27-000,4.8,8,7,1,5,2,2,6,33.3,4,4,1,3,1,9,1,0,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Gerard Martín,es ESP,DF,23-126,5.0,9,7,3,5,1,6,12,50.0,6,6,1,5,8,17,18,0,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,12,5,10,1,1,5,7,71.4,2,13,8,5,2,14,36,2,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,8,5,3,3,2,2,13,15.4,11,8,1,7,1,9,4,0,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,1,0,0,0,1,1,3,33.3,2,6,3,3,1,2,4,0,Matches
Gavi,es ESP,MF,20-275,3.3,10,7,1,6,3,5,10,50.0,5,7,2,5,0,10,4,0,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,7,2,4,1,2,2,5,40.0,3,4,0,4,6,13,7,0,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,2,1,1,1,0,2,4,50.0,2,1,0,1,0,2,1,0,Matches
Héctor Fort,es ESP,DF,18-278,0.6,3,2,1,0,2,2,3,66.7,1,0,0,0,1,4,1,0,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,2,0,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,0,0,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
