Player,Nation,Position,Current age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
Raphinha,br BRA,"FW,MF",28-144,14,14,"1,222",13.6,13,8,21,13,0,0,0,0,5.9,5.9,7.4,13.3,46,58,145,0.96,0.59,1.55,0.96,1.55,0.45,0.56,1.00,0.45,1.00,Matches
Pedri,es ESP,MF,22-163,14,13,"1,109",12.3,0,2,2,0,0,0,0,0,0.4,0.4,2.1,2.5,31,114,43,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.20,0.03,0.20,Matches
Jules Koundé,fr FRA,DF,26-176,13,13,"1,104",12.3,0,3,3,0,0,0,1,0,0.6,0.6,2.2,2.8,21,47,66,0.00,0.24,0.24,0.00,0.24,0.05,0.18,0.23,0.05,0.23,Matches
Lamine Yamal,es ESP,FW,17-298,13,13,"1,094",12.2,5,3,8,5,0,0,0,0,4.2,4.2,2.1,6.3,73,63,152,0.41,0.25,0.66,0.41,0.66,0.35,0.18,0.53,0.35,0.53,Matches
Pau Cubarsí,es ESP,DF,18-105,13,12,977,10.9,0,1,1,0,0,0,2,1,0.2,0.2,1.0,1.2,7,74,2,0.00,0.09,0.09,0.00,0.09,0.02,0.09,0.11,0.02,0.11,Matches
Robert Lewandowski,pl POL,FW,36-259,13,12,975,10.8,11,0,11,8,3,3,0,0,10.4,8.0,1.5,9.6,10,27,51,1.02,0.00,1.02,0.74,0.74,0.99,0.15,1.14,0.77,0.91,Matches
Iñigo Martínez,es ESP,DF,33-355,11,11,954,10.6,2,1,3,2,0,0,3,0,0.7,0.7,1.0,1.7,16,80,7,0.19,0.09,0.28,0.19,0.28,0.07,0.09,0.16,0.07,0.16,Matches
Alejandro Balde,es ESP,DF,21-201,10,9,803,8.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,28,24,63,0.00,0.22,0.22,0.00,0.22,0.02,0.06,0.08,0.02,0.08,Matches
Frenkie de Jong,nl NED,MF,27-360,13,8,804,8.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.1,15,74,16,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8,8,750,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marc Casado,es ESP,MF,21-235,10,7,633,7.0,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,6,47,11,0.00,0.28,0.28,0.00,0.28,0.05,0.07,0.12,0.05,0.12,Matches
Dani Olmo,es ESP,MF,27-000,9,6,435,4.8,2,1,3,2,0,0,0,0,2.3,2.3,1.0,3.2,12,34,37,0.41,0.21,0.62,0.41,0.62,0.47,0.20,0.66,0.47,0.66,Matches
Iñaki Peña,es ESP,GK,26-066,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gerard Martín,es ESP,DF,23-126,8,5,446,5.0,0,3,3,0,0,0,0,0,0.0,0.0,1.9,1.9,6,18,43,0.00,0.61,0.61,0.00,0.61,0.00,0.40,0.40,0.00,0.40,Matches
Ronald Araújo,uy URU,DF,26-061,8,4,523,5.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,10,0,0.17,0.00,0.17,0.17,0.17,0.09,0.00,0.09,0.09,0.09,Matches
Fermin López,es ESP,"MF,FW",21-361,11,4,453,5.0,1,3,4,1,0,0,1,0,1.8,1.8,1.9,3.7,11,15,39,0.20,0.60,0.79,0.20,0.79,0.39,0.40,0.79,0.39,0.79,Matches
Ferrán Torres,es ESP,FW,25-067,11,3,426,4.7,3,1,4,3,0,0,1,0,3.0,3.0,0.5,3.5,2,8,31,0.63,0.21,0.85,0.63,0.85,0.62,0.11,0.73,0.62,0.73,Matches
Gavi,es ESP,MF,20-275,10,3,301,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,4,11,14,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.14,0.08,0.14,Matches
Eric García,es ESP,"DF,MF",24-118,9,3,276,3.1,2,0,2,2,0,0,0,1,1.1,1.1,0.2,1.3,2,24,6,0.65,0.00,0.65,0.65,0.65,0.35,0.05,0.41,0.35,0.41,Matches
Marc-André ter Stegen,de GER,GK,33-007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,6,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,Matches
Héctor Fort,es ESP,DF,18-278,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Ansu Fati,es ESP,"FW,MF",22-188,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Torre,es ESP,"FW,MF",22-034,2,0,21,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,2,2,0.00,0.00,0.00,0.00,0.00,1.74,0.00,1.74,1.74,1.74,Matches
Andreas Christensen,dk DEN,DF,29-027,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andres Cuenca,es ESP,DF,17-330,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ander Astralaga,es ESP,GK,21-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Noah Darvich,de GER,MF,18-224,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Landry Farré,es ESP,DF,18-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guillermo Fernandez,es ESP,MF,16-323,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Toni Fernández,es ESP,MF,16-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Kochen,us USA,GK,19-049,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Áron Yaakobishvili,hu HUN,GK,19-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
